Station,Date/Time  ,DATE,TIME,Temp ,SpCond ,DO Conc ,pH
G379,7/15/2012 20:31,7/15/2012,8:31,29.7,0.93,0.28,7.17
G379,7/15/2012 20:46,7/15/2012,8:46,29.61,0.935,0.29,7.17
G379,7/15/2012 21:01,7/15/2012,9:01,29.51,0.931,0.26,7.17
G379,7/15/2012 21:16,7/15/2012,9:16,29.43,0.94,0.23,7.17
G379,7/15/2012 21:31,7/15/2012,9:31,29.35,0.928,0.21,7.17
G379,7/15/2012 21:46,7/15/2012,9:46,29.27,0.938,0.22,7.15
G379,7/15/2012 22:01,7/15/2012,10:01,29.18,0.936,0.28,7.15
G379,7/15/2012 22:16,7/15/2012,10:16,29.09,0.935,0.33,7.15
G379,7/15/2012 22:31,7/15/2012,10:31,29.01,0.932,0.39,7.15
G379,7/15/2012 22:46,7/15/2012,10:46,28.92,0.934,0.53,7.13
G379,7/15/2012 23:01,7/15/2012,11:01,28.84,0.929,0.63,7.11
G379,7/15/2012 23:16,7/15/2012,11:16,28.74,0.93,0.7,7.1
G379,7/15/2012 23:31,7/15/2012,11:31,28.64,0.927,0.75,7.09
G379,7/15/2012 23:46,7/15/2012,11:46,28.55,0.934,0.79,7.08
G379,7/16/2012 0:01,7/16/2012,12:01,28.46,0.933,0.82,7.07
G379,7/16/2012 0:16,7/16/2012,12:16,28.38,0.938,0.85,7.07
G379,7/16/2012 0:31,7/16/2012,12:31,28.32,0.945,0.89,7.06
G379,7/16/2012 0:46,7/16/2012,12:46,28.24,0.936,0.91,7.06
G379,7/16/2012 1:01,7/16/2012,1:01,28.15,0.929,0.92,7.05
G379,7/16/2012 1:16,7/16/2012,1:16,28.07,0.934,0.9,7.05
G379,7/16/2012 1:31,7/16/2012,1:31,27.99,0.931,0.86,7.04
G379,7/16/2012 1:46,7/16/2012,1:46,27.9,0.933,0.79,7.03
G379,7/16/2012 2:01,7/16/2012,2:01,27.83,0.941,0.74,7.02
G379,7/16/2012 2:16,7/16/2012,2:16,27.76,0.948,0.71,7.01
G379,7/16/2012 2:31,7/16/2012,2:31,27.7,0.95,0.79,7
G379,7/16/2012 2:46,7/16/2012,2:46,27.62,0.945,0.94,6.99
G379,7/16/2012 3:01,7/16/2012,3:01,27.54,0.933,1.07,6.98
