"Station","Date","TRP","TPO4","Month","Day","Time","Year","Hour","Minute","Flowway","Flowpath Region","RANK","TRP Rank","PERCENT_RANK","Scaled_Value","24_hour_mean","TRP Daily Mean","Diff_24_hour_mean","TRP Diff from daily mean","Percent difference from daily mean"
"G334",2013-10-10,3,29,"Oct",10,14.7333333333333,2013,14,44,"STA-2 Central","Outflow",17,20,0.818181818181818,0.935483870967742,28.4545454545455,2.36363636363636,0.545454545454547,0.636363636363636,1.91693290734825
"G334",2013-10-10,1,30,"Oct",10,15.7333333333333,2013,15,44,"STA-2 Central","Outflow",19,2,0.863636363636364,0.967741935483871,28.4545454545455,2.36363636363636,1.54545454545455,-1.36363636363636,5.43130990415336
"G334",2013-10-10,1,31,"Oct",10,16.7333333333333,2013,16,44,"STA-2 Central","Outflow",22,3,1,1,28.4545454545455,2.36363636363636,2.54545454545455,-1.36363636363636,8.94568690095847
"G334",2013-10-10,1,29,"Oct",10,17.7333333333333,2013,17,44,"STA-2 Central","Outflow",18,4,0.818181818181818,0.935483870967742,28.4545454545455,2.36363636363636,0.545454545454547,-1.36363636363636,1.91693290734825
"G334",2013-10-10,1,28,"Oct",10,18.7333333333333,2013,18,44,"STA-2 Central","Outflow",12,5,0.545454545454545,0.903225806451613,28.4545454545455,2.36363636363636,-0.454545454545453,-1.36363636363636,-1.59744408945686
"G334",2013-10-10,2,27,"Oct",10,19.7333333333333,2013,19,44,"STA-2 Central","Outflow",4,12,0.318181818181818,0.870967741935484,28.4545454545455,2.36363636363636,-1.45454545454545,-0.363636363636364,-5.11182108626198
"G334",2013-10-10,1,27,"Oct",10,20.7333333333333,2013,20,44,"STA-2 Central","Outflow",5,6,0.318181818181818,0.870967741935484,28.4545454545455,2.36363636363636,-1.45454545454545,-1.36363636363636,-5.11182108626198
"G334",2013-10-10,1,27,"Oct",10,21.7333333333333,2013,21,44,"STA-2 Central","Outflow",6,7,0.318181818181818,0.870967741935484,28.4545454545455,2.36363636363636,-1.45454545454545,-1.36363636363636,-5.11182108626198
"G334",2013-10-10,1,27,"Oct",10,22.7333333333333,2013,22,44,"STA-2 Central","Outflow",7,8,0.318181818181818,0.870967741935484,28.4545454545455,2.36363636363636,-1.45454545454545,-1.36363636363636,-5.11182108626198
"G334",2013-10-11,3,28,"Oct",11,0.733333333333333,2013,0,44,"STA-2 Central","Outflow",21,16,0.954545454545455,0.96551724137931,24.5454545454545,2.09090909090909,3.45454545454545,0.909090909090909,14.0740740740741
"G334",2013-10-11,4,24,"Oct",11,1.73333333333333,2013,1,44,"STA-2 Central","Outflow",7,20,0.590909090909091,0.827586206896552,24.5454545454545,2.09090909090909,-0.545454545454547,1.90909090909091,-2.22222222222223
"G334",2013-10-11,2,26,"Oct",11,2.73333333333333,2013,2,44,"STA-2 Central","Outflow",17,9,0.863636363636364,0.896551724137931,24.5454545454545,2.09090909090909,1.45454545454545,-0.0909090909090908,5.92592592592592
"G334",2013-10-11,1,27,"Oct",11,3.73333333333333,2013,3,44,"STA-2 Central","Outflow",20,1,0.909090909090909,0.931034482758621,24.5454545454545,2.09090909090909,2.45454545454545,-1.09090909090909,9.99999999999999
"G334",2013-10-11,2,24,"Oct",11,4.73333333333333,2013,4,44,"STA-2 Central","Outflow",8,10,0.590909090909091,0.827586206896552,24.5454545454545,2.09090909090909,-0.545454545454547,-0.0909090909090908,-2.22222222222223
"G334",2013-10-11,1,24,"Oct",11,5.73333333333333,2013,5,44,"STA-2 Central","Outflow",9,2,0.590909090909091,0.827586206896552,24.5454545454545,2.09090909090909,-0.545454545454547,-1.09090909090909,-2.22222222222223
"G334",2013-10-11,1,23,"Oct",11,6.73333333333333,2013,6,44,"STA-2 Central","Outflow",3,3,0.272727272727273,0.793103448275862,24.5454545454545,2.09090909090909,-1.54545454545455,-1.09090909090909,-6.2962962962963
"G334",2013-10-11,1,23,"Oct",11,7.73333333333333,2013,7,44,"STA-2 Central","Outflow",4,4,0.272727272727273,0.793103448275862,24.5454545454545,2.09090909090909,-1.54545454545455,-1.09090909090909,-6.2962962962963
"G334",2013-10-11,1,24,"Oct",11,8.73333333333333,2013,8,44,"STA-2 Central","Outflow",10,5,0.590909090909091,0.827586206896552,24.5454545454545,2.09090909090909,-0.545454545454547,-1.09090909090909,-2.22222222222223
"G334",2013-10-11,2,24,"Oct",11,9.73333333333333,2013,9,44,"STA-2 Central","Outflow",11,11,0.590909090909091,0.827586206896552,24.5454545454545,2.09090909090909,-0.545454545454547,-0.0909090909090908,-2.22222222222223
"G334",2013-10-11,1,21,"Oct",11,10.7333333333333,2013,10,44,"STA-2 Central","Outflow",1,6,0.0454545454545455,0.724137931034483,24.5454545454545,2.09090909090909,-3.54545454545455,-1.09090909090909,-14.4444444444444
"G334",2013-10-11,3,24,"Oct",11,12.7333333333333,2013,12,44,"STA-2 Central","Outflow",12,17,0.590909090909091,0.827586206896552,24.5454545454545,2.09090909090909,-0.545454545454547,0.909090909090909,-2.22222222222223
"G334",2013-10-11,4,23,"Oct",11,13.7333333333333,2013,13,44,"STA-2 Central","Outflow",5,21,0.272727272727273,0.793103448275862,24.5454545454545,2.09090909090909,-1.54545454545455,1.90909090909091,-6.2962962962963
"G334",2013-10-11,3,23,"Oct",11,14.7333333333333,2013,14,44,"STA-2 Central","Outflow",6,18,0.272727272727273,0.793103448275862,24.5454545454545,2.09090909090909,-1.54545454545455,0.909090909090909,-6.2962962962963
"G334",2013-10-11,2,22,"Oct",11,15.7333333333333,2013,15,44,"STA-2 Central","Outflow",2,12,0.0909090909090909,0.758620689655172,24.5454545454545,2.09090909090909,-2.54545454545455,-0.0909090909090908,-10.3703703703704
"G334",2013-10-11,1,24,"Oct",11,16.7333333333333,2013,16,44,"STA-2 Central","Outflow",13,7,0.590909090909091,0.827586206896552,24.5454545454545,2.09090909090909,-0.545454545454547,-1.09090909090909,-2.22222222222223
"G334",2013-10-11,2,25,"Oct",11,17.7333333333333,2013,17,44,"STA-2 Central","Outflow",14,13,0.727272727272727,0.862068965517241,24.5454545454545,2.09090909090909,0.454545454545453,-0.0909090909090908,1.85185185185185
"G334",2013-10-11,2,25,"Oct",11,18.7333333333333,2013,18,44,"STA-2 Central","Outflow",15,14,0.727272727272727,0.862068965517241,24.5454545454545,2.09090909090909,0.454545454545453,-0.0909090909090908,1.85185185185185
"G334",2013-10-11,4,26,"Oct",11,19.7333333333333,2013,19,44,"STA-2 Central","Outflow",18,22,0.863636363636364,0.896551724137931,24.5454545454545,2.09090909090909,1.45454545454545,1.90909090909091,5.92592592592592
"G334",2013-10-11,2,26,"Oct",11,20.7333333333333,2013,20,44,"STA-2 Central","Outflow",19,15,0.863636363636364,0.896551724137931,24.5454545454545,2.09090909090909,1.45454545454545,-0.0909090909090908,5.92592592592592
"G334",2013-10-11,1,29,"Oct",11,21.7333333333333,2013,21,44,"STA-2 Central","Outflow",22,8,1,1,24.5454545454545,2.09090909090909,4.45454545454545,-1.09090909090909,18.1481481481481
"G334",2013-10-11,3,25,"Oct",11,22.7333333333333,2013,22,44,"STA-2 Central","Outflow",16,19,0.727272727272727,0.862068965517241,24.5454545454545,2.09090909090909,0.454545454545453,0.909090909090909,1.85185185185185
"G334",2013-10-12,1,26,"Oct",12,0.733333333333333,2013,0,44,"STA-2 Central","Outflow",22,1,1,1,23.6363636363636,1.40909090909091,2.36363636363636,-0.409090909090909,10
